branch_id,backend_a,backend_b,canonical_index,T_K,log_w_a,log_w_b,w_m_s_a,w_m_s_b,delta_log_w_a_minus_b,delta_w_m_s_a_minus_b,relative_delta_w_a_minus_b
lower_hopf,auto,loca,15,205.0,-4.73154962832151,-4.731534546758333,0.00881280388246653,0.008812936794327306,-1.5081563176977397e-05,-1.3291186077603323e-07,-1.5081449450719501e-05
lower_hopf,auto,loca,16,206.0,-4.654710248486962,-4.654695584093875,0.009516670312133739,0.009516809869351339,-1.4664393087393535e-05,-1.3955721759988104e-07,-1.4664285565830391e-05
lower_hopf,auto,loca,17,207.0,-4.578600585292471,-4.578586456545509,0.010269257195188227,0.010269402287949609,-1.4128746961716843e-05,-1.450927613819153e-07,-1.412864715137034e-05
lower_hopf,auto,loca,18,208.0,-4.503215081403299,-4.503201597228276,0.011073337564031793,0.011073486879860291,-1.3484175022782097e-05,-1.4931582849840586e-07,-1.3484084111750869e-05
lower_hopf,auto,loca,19,209.0,-4.4285487237159336,-4.428535983027068,0.01193179344232659,0.011931945462562868,-1.2740688865697791e-05,-1.5202023627772232e-07,-1.2740607703470833e-05
lower_hopf,auto,loca,20,210.0,-4.354597075483346,-4.354585167232023,0.012847615160553976,0.012847768154095147,-1.1908251322800822e-05,-1.5299354117100095e-07,-1.1908180419821414e-05
lower_hopf,auto,loca,21,211.0,-4.281356308075288,-4.281345314007906,0.013823899898637772,0.013824051880360184,-1.0994067381808748e-05,-1.5198172241201457e-07,-1.0994006947263765e-05
lower_hopf,auto,loca,22,212.0,-4.208823239493581,-4.20881323450548,0.014863849241411918,0.014863997954790651,-1.0004988101108836e-05,-1.4871337873298418e-07,-1.0004938051343987e-05
lower_hopf,auto,loca,23,213.0,-4.136995371384308,-4.136986424878305,0.01597076570592928,0.01597090858911969,-8.946506002693866e-06,-1.4288319040781094e-07,-8.946465982852802e-06
lower_hopf,auto,loca,24,214.0,-4.065870931658173,-4.065863105831142,0.017148047990258177,0.01714818218844077,-7.825827030849553e-06,-1.341981825941918e-07,-7.825796409175777e-06
lower_hopf,auto,loca,25,215.0,-3.9954489096461994,-3.99544226382341,0.018399184984917154,0.018399307263046352,-6.645822789419498e-06,-1.2227812919846093e-07,-6.645800705988943e-06
lower_hopf,auto,loca,26,216.0,-3.9257291066290256,-3.925723693616205,0.019727747994778763,0.0197278547816206,-5.413012820643104e-06,-1.067868418379303e-07,-5.412998170354435e-06
