T_K,p_Pa,F,N_a_m3,log_w,w_m_s,log_n,log_q,n,q,s,converged,iterations,message,residual_norm
190.0,30000.0,1.0,10000000000.0,-1.5786164602184978,0.2062602701751422,12.892043720398812,-13.587751074468914,397139.8324299054,1.2557832525085602e-06,1.5809427863571701,True,7,The solution converged.,4.9399495908997425e-18
190.0,30000.0,1.0,10000000000.0,-1.5536520246055479,0.21147425268811285,12.916879363579822,-13.56280597755186,407126.5556281212,1.287502867081141e-06,1.581027575321969,True,7,The solution converged.,9.10257984942708e-18
190.0,30000.0,1.0,10000000000.0,-1.528687588992598,0.21682003767386449,12.9417150304359,-13.537860872873544,417364.4210092252,1.3200236922226537e-06,1.5811123643312441,True,7,The solution converged.,6.262461802505398e-18
190.0,30000.0,1.0,10000000000.0,-1.503723153379648,0.22230095692182836,12.966550720959647,-13.51291576043675,427859.74444325303,1.3533659660877255e-06,1.581197153384981,True,7,The solution converged.,2.2970959606900788e-18
190.0,30000.0,1.0,10000000000.0,-1.478758717766698,0.22792042644459612,12.99138643514367,-13.487970640244258,438619.0006415119,1.3875504380424021e-06,1.5812819424831643,True,7,The solution converged.,3.4819836530549084e-18
190.0,30000.0,1.0,10000000000.0,-1.4537942821537482,0.2336819486069682,13.016222172980575,-13.463025512298849,449648.82715151727,1.4225983815773956e-06,1.5813667316257798,True,7,The solution converged.,8.638627668495151e-18
190.0,30000.0,1.0,10000000000.0,-1.4288298465407983,0.23958911430882168,13.041057934462971,-13.438080376603299,460956.02845241135,1.4585316075475205e-06,1.5814515208128128,True,7,The solution converged.,7.988330551804469e-18
190.0,30000.0,1.0,10000000000.0,-1.4038654109278483,0.2456456052231581,13.065893719583476,-13.41313523316039,472547.5801533834,1.4953724777455685e-06,1.5815363100442485,True,7,The solution converged.,8.961448331337367e-18
190.0,30000.0,1.0,10000000000.0,-1.3789009753148984,0.25185519609072593,13.090729528334705,-13.388190081972896,484430.63329768594,1.5331439188190712e-06,1.5816210993200726,True,7,The solution converged.,2.1705816832678778e-18
190.0,30000.0,1.0,10000000000.0,-1.3539365397019485,0.25822175707264833,13.11556536070928,-13.363244923043592,496612.5187749077,1.5718694365386014e-06,1.5817058886402697,True,7,The solution converged.,3.692045476793008e-18
190.0,30000.0,1.0,10000000000.0,-1.3289721040889986,0.26474925616252204,13.140401216699823,-13.338299756375253,509100.7518442186,1.6115731304264865e-06,1.5817906780048256,True,7,The solution converged.,4.60433208584048e-18
190.0,30000.0,1.0,10000000000.0,-1.3040076684760487,0.2714417616594907,13.165237096298963,-13.31335458197065,521903.03677138145,1.6522797087550756e-06,1.5818754674137256,True,7,The solution converged.,5.460650945169129e-18
190.0,30000.0,1.0,10000000000.0,-1.2790432328630983,0.2783034447038345,13.190072999499332,-13.288409399832554,535027.2715823955,1.6940145039238366e-06,1.581960256866955,True,7,The solution converged.,5.884051084628585e-18
190.0,30000.0,1.0,10000000000.0,-1.2540787972501484,0.28533858187665573,13.21490892629356,-13.263464209963736,548481.5529366932,1.7368034882249152e-06,1.5820450463644993,True,7,The solution converged.,6.6942010874005695e-18
190.0,30000.0,1.0,10000000000.0,-1.2291143616371984,0.29255155786528125,13.239744876674287,-13.238519012366966,562274.1811229178,1.7806732900069173e-06,1.5821298359063436,True,7,The solution converged.,8.207485540830968e-18
190.0,30000.0,1.0,10000000000.0,-1.2041499260242485,0.2999468681960428,13.264580850634154,-13.213573807045009,576413.6651803441,1.8256512102470206e-06,1.5822146254924736,True,7,The solution converged.,3.2374297531484397e-18
190.0,30000.0,1.0,10000000000.0,-1.1791854904112986,0.3075291220361377,13.289416848165802,-13.188628594000633,590908.7281491108,1.8717652395416691e-06,1.5822994151228742,True,7,The solution converged.,9.095145827659503e-18
190.0,30000.0,1.0,10000000000.0,-1.1542210547983487,0.31530304506631746,13.31425286926188,-13.1636833732366,605768.3124525142,1.919044075526507e-06,1.5823842047975314,True,7,The solution converged.,3.3671069086204397e-18
