start,cycle_index,start_time_s,end_time_s,period_s,s_max,s_min,s_amplitude,period_relative_drift,amplitude_relative_drift
n_plus_1pct,14,10998.955033049138,11806.534734148679,807.57970109954113,1.4697468812621508,1.4665411783416407,0.003205702920510145,0.0037985309760669595,0.18724245880466692
n_plus_1pct,15,11806.534734148679,12618.541448735032,812.00671458635225,1.4699921284311832,1.4661827856180203,0.0038093428131629192,0.0054818285808615839,0.18830188187142211
n_plus_1pct,16,12618.541448735032,13436.58799146508,818.0465427300478,1.470270875744307,1.46573890822339,0.0045319675209170018,0.0074381504921081009,0.18969799863039449
n_plus_1pct,17,13436.58799146508,14263.292764602849,826.70477313776973,1.4705852508337147,1.4651847512917793,0.005400499541935444,0.010584031537896388,0.19164568523710487
n_plus_1pct,18,14263.292764602849,15102.137246140346,838.8444815374969,1.4709372632738809,1.4644860913813449,0.0064511718925359673,0.014684454226205484,0.19455095634060193
n_plus_1pct,19,15102.137246140346,15958.009209476571,855.87196333622524,1.4713270314656537,1.4635959476721365,0.0077310837935171683,0.020298734954444821,0.19839990660643603
n_plus_1pct,20,15958.009209476571,16837.700429257009,879.69121978043768,1.4717537083581105,1.462446272796829,0.0093074355612814408,0.027830396910495783,0.20389790226903351
n_plus_1pct,21,16837.700429257009,17750.332250056555,912.6318207995464,1.4722142086547076,1.4609443115023049,0.011269897152402786,0.037445640331991013,0.210848796986047
n_plus_1pct,22,17750.332250056555,18707.953017896525,957.62076783996963,1.4727032645573093,1.4589617556758161,0.01374150888149317,0.049295834327811316,0.21931093919197184
n_plus_1pct,23,18707.953017896525,19725.414364725035,1017.4613468285097,1.4732128119708507,1.4563277092144837,0.01688510275636701,0.062488806632209737,0.22876628047066788
n_plus_1pct,24,19725.414364725035,20819.705768942724,1094.291404217689,1.4737320546008972,1.4528357868546158,0.020896267746281394,0.07551152447084436,0.23755644533474099
n_plus_1pct,25,20819.705768942724,22008.383255461671,1188.6774865189473,1.4742489759455439,1.4482700075283801,0.02597896841716385,0.086253151525699026,0.24323485574532566
n_plus_1pct,26,22008.383255461671,23307.974700280203,1299.5914448185322,1.474750028286691,1.4424470987981481,0.032302929488542853,0.093308706152412671,0.24342618112583994
n_plus_1pct,27,23307.974700280203,24732.373783917104,1424.3990836369012,1.475221846534523,1.4352813992190265,0.039940447315496508,0.09603605757484536,0.23643421658281849
n_plus_1pct,28,24732.373783917104,26291.459550691005,1559.0857667739001,1.4756522789170607,1.426856722539914,0.04879555637714672,0.094556844836704762,0.2217078089211714
n_plus_1pct,29,26291.459550691005,27989.502288421121,1698.0427377301166,1.4760319458363185,1.4174701827063407,0.05856176312997774,0.089127214113274747,0.20014541236802041
n_plus_1pct,30,27989.502288421121,29824.168025947907,1834.665737526786,1.4763554754866006,1.4076292444756071,0.06872623101099351,0.08045910551067878,0.17356833773012861
n_plus_1pct,31,29824.168025947907,31786.407421433989,1962.2393954860818,1.4766215086127676,1.39795923087989,0.078662277732877595,0.069535095875977379,0.14457429973563812
n_plus_1pct,32,31786.407421433989,33861.700046551792,2075.2926251178033,1.4768330325328156,1.3890439496225593,0.087789082910256333,0.057614391950232033,0.11602518310455825
n_plus_1pct,33,33861.700046551792,36032.272896557246,2170.5728500054538,1.4769961221286552,1.3813182036596618,0.095677918468993317,0.045911706009287241,0.089861236696155727
n_plus_1pct,34,36032.272896557246,38279.586669790689,2247.3137732334435,1.4771184298892039,1.3749656967487141,0.10215273314048989,0.035355147479982932,0.067673030257184075
n_plus_1pct,35,38279.586669790689,40586.311091422664,2306.7244216319741,1.4772080666295779,1.3699747822559738,0.10723328437360413,0.026436294346672537,0.049734853654155239
n_plus_1pct,36,40586.311091422664,42937.613225142573,2351.3021337199098,1.4772725352202711,1.3661906784257698,0.11108185679450133,0.019325113858376531,0.035889718788139076
n_plus_1pct,37,42937.613225142573,45321.531588516562,2383.9183633739885,1.4773184453281429,1.3634091053861963,0.11390933994194663,0.013871560437227957,0.025454050094571891
